Name of Product (English),Net Rate (₹)
25 Shot Whistling Sound,716.0
Peacock Dance 30 Shots,496.0
Blue Fantasy - 25 Shots,716.0
30 Shots Zomato Full Crackling,606.0
INF Double Delight 2 in 1,826.0
Sony Pixel Shot 5*4,1320.0
"Bharat Ratna 20 Shots (2.5"" Comet)",3080.0
Pala Sola Kii 3*10,3080.0
New 10*10 Light Celebration,3960.0
"Univercell 30 Shots (2"" Comet)",4180.0
INF Colour Rainbow 10*10,4400.0
"INF Pyro Gems 36 Shots (2"" Comet)",550.0
INF Digital Rain 10*7,1980.0
INF OSCAR,8250.0
7 Cm Electric Sparklers,10.0
7 Cm Colour Sparklers,12.0
7 Cm Green Sparklers,14.0
7 Cm Red Sparklers,16.0
10 Cm Electric Sparklers,16.0
10 Cm Colour Sparklers,20.0
10 Cm Green Sparklers,22.0
10 Cm Red Sparklers,24.0
15 Cm Electric Sparklers,42.0
15 Cm Colour Sparklers,46.0
15 Cm Green Sparklers,54.0
15 Cm Red Sparklers,58.0
30 Cm Electric Sparklers,42.0
30 Cm Colour Sparklers,46.0
30 Cm Green Sparklers,54.0
30 Cm Red Sparklers,58.0
50 Cm Electric Sparklers,154.0
50 Cm Colour Sparklers,176.0
50 cm 2 in 1,198.0
Rotating Sparklers,242.0
Pink Sparklers,94.0
Violet Sparklers,94.0
Super Deluxe 10 in 1,84.0
Royal Lamba 10 in 1,182.0
Royal Laptop 10 in 1,260.0
Roll Caps,78.0
Ring Cap,12.0
Snake Serphant Big,40.0
Ring Gun,88.0
Roll Gun,88.0
20 Item Gift Box,440.0
30 Item Gift Box,660.0
40 Item Gift Box,880.0
50 Item Gift Box,1100.0
Kids Pack,3299.0
Family Pack,5499.0
Thala Diwali Pack,7699.0
V.I.P Gold Pack,10999.0
